gene	red1	red2	red3	white1	white2	white3	log2fold	p.value	q.value
VIT_209s0002g05730.1	2063	2011	1715	907	871	932	-1.003061289	6.32E-19	5.23E-17
VIT_207s0031g01810.1	6149	5392	5408	4358	6067	6073	0.044253087	0.739708611	0.849527093
VIT_210s0116g01120.1	0	3	1	0	0	1	-1.857575427	0.520369045	1
VIT_216s0050g01300.1	7	6	8	0	0	2	-3.327222301	0.032643851	0.09612109
VIT_212s0028g03900.1	5481	4371	3115	5024	3647	3051	-0.024105386	0.908589609	0.952554987
VIT_200s1190g00010.1	0	0	0	0	2	0	1.916927455	0.635184966	1
VIT_219s0015g00100.1	6	14	9	12	3	12	-0.0267771	0.974864063	0.986904175
VIT_206s0061g00830.1	262	186	173	167	287	321	0.414100624	0.096494077	0.219522806
VIT_209s0002g06010.2	216	234	257	327	275	250	0.349378836	0.115525504	0.250756399
VIT_216s0039g02810.1	226	216	219	222	295	314	0.410401574	0.032512754	0.095822807
VIT_200s0415g00060.1	513	556	498	324	343	412	-0.45682859	0.005523446	0.02287312
VIT_209s0002g05070.1	121	103	139	105	207	195	0.548678019	0.066188251	0.165772555
VIT_219s0090g01470.1	1415	2367	788	2375	2342	2221	0.702810053	0.105813519	0.234977619
VIT_200s0261g00020.1	211	182	221	163	206	181	-0.078955361	0.704778202	0.82773841
VIT_202s0025g03440.1	52	37	20	21	17	22	-0.736409034	0.130169317	0.274059249
VIT_203s0038g01530.1	0	2	6	10	11	5	1.711855347	0.148783486	0.30138262
VIT_208s0040g01760.2	6682	5012	4692	4416	4062	4665	-0.215091974	0.064248235	0.161995073
VIT_205s0062g01430.2	142	104	97	59	107	104	-0.251741501	0.382205991	0.567161441
VIT_201s0011g06130.2	3201	2753	2106	3085	2666	2492	0.140517215	0.337885013	0.524960796
VIT_207s0095g00760.1	486	485	371	627	799	691	0.749555148	4.17E-07	5.81E-06
VIT_210s0003g00290.1	1481	1337	1429	980	1792	1649	0.132123729	0.504391977	0.678110535
VIT_211s0078g00290.1	237	93	56	0	1	0	-8.329351713	7.55E-11	2.08E-09
VIT_218s0041g00870.1	8	28	16	10	8	6	-1.05166852	0.163173644	0.321815481
VIT_212s0059g01930.1	5245	4505	3935	4933	5476	5176	0.283907156	0.00149585	0.007714334
VIT_211s0118g00040.1	4	4	12	2	4	2	-1.291925388	0.254544128	0.434785861
VIT_214s0083g00640.2	684	569	494	696	741	713	0.397944799	0.001153545	0.006181518
VIT_204s0008g06460.1	0	2	0	0	1	0	-0.829884768	0.835642734	1
VIT_200s2668g00010.1	41	10	25	7	26	10	-0.716191286	0.312835744	0.499591758
VIT_204s0023g03700.3	1113	925	716	996	891	778	0.061589107	0.703676401	0.827178039
VIT_218s0001g04120.1	28	26	12	2	2	12	-1.941591035	0.020802396	0.066974076
VIT_215s0021g00730.1	23	11	10	9	18	25	0.352428651	0.58505921	0.743201166
VIT_201s0150g00620.2	2407	2184	2113	2106	2037	1999	-0.035382936	0.742413728	0.8516345
VIT_219s0014g01830.1	41	45	39	10	3	27	-1.565628987	0.017321758	0.057939093
VIT_204s0008g05740.3	7	26	5	14	42	21	1.087763903	0.149676739	0.302701741
VIT_214s0068g01990.1	231	216	185	272	196	219	0.219779349	0.29665386	0.482443427
