gene	red1	red2	red3	white1	white2	white3	log2fold	p.value	q.value
VIT_18s0001g05100.t01	17	49	22	22	28	28	-0.038743864	0.93954848	0.967012229
VIT_18s0001g05370.t01	4	10	20	13	19	19	0.683378786	0.344366376	0.53050481
VIT_03s0038g03900.t01	998	1393	1096	855	718	770	-0.466175756	0.000783577	0.004415841
VIT_04s0008g06610.t01	991	968	1137	980	1060	1007	0.060712034	0.678776077	0.810573477
VIT_07s0129g00300.t01	39	38	39	86	54	43	0.75614575	0.06360665	0.15923768
VIT_04s0008g03240.t01	18	30	26	88	125	123	2.283173675	8.34E-12	2.57E-10
VIT_13s0156g00550.t01	4101	5126	3976	3175	3088	3619	-0.319345092	0.00440161	0.018691331
VIT_14s0060g01570.t01	267	268	340	614	565	572	1.088860809	2.02E-09	4.19E-08
VIT_05s0102g00880.t01	0	0	0	0	2	2	2.920672561	0.411999735	1
VIT_01s0010g02220.t01	196	327	217	202	163	280	-0.08508608	0.731920551	0.84667533
VIT_12s0034g00950.t01	165	178	192	136	149	159	-0.180228142	0.382642214	0.568771668
VIT_17s0000g07350.t01	1938	2473	1884	1030	1614	1677	-0.450737769	0.00844252	0.032105694
VIT_14s0060g00690.t01	31456	36088	36575	60766	52723	46804	0.71969737	2.72E-07	3.80E-06
VIT_11s0052g00960.t01	1721	2483	2174	1766	1682	1710	-0.200431548	0.085402221	0.198987957
VIT_16s0039g01780.t01	17	20	13	9	5	15	-0.689065833	0.32081318	0.506044817
VIT_16s0050g02550.t01	65	62	44	28	41	54	-0.395692364	0.315742909	0.500390052
VIT_18s0001g09640.t01	0	1	0	0	0	1	0.091715575	0.982067696	1
VIT_09s0002g02390.t01	78	168	112	61	101	97	-0.350627138	0.26358453	0.44377169
VIT_10s0042g00780.t01	211	148	173	110	96	112	-0.670944497	0.014721646	0.050536894
VIT_02s0012g00290.t01	2628	2724	2432	1945	1829	1875	-0.372443378	0.002591274	0.01203009
